Wall time,Step,Value
1701869106.139049,60,0.9357889890670776
1701869342.0804737,120,1.0433838367462158
1701869398.1146317,180,1.0254231691360474
1701869543.2473078,340,0.9701822996139526
1701869557.916097,360,0.9623860716819763
1701869583.3398948,390,0.8984212279319763
1701869656.7695718,470,0.8718302249908447
1701869684.9220936,500,0.8759195804595947
1701869825.744387,650,0.8059021234512329
1701869853.1524723,680,0.7531941533088684
1701870031.7351885,880,0.8500468134880066
1701870340.6037889,969,0.8381937742233276
1701870374.7181447,1009,0.7949493527412415
1701870541.8808935,1209,0.6850606203079224
1701870668.884466,1339,0.591850757598877
1701870760.8069603,1449,0.5382692813873291
1701870798.6550117,1499,0.6573494076728821
1701870822.6954992,1529,0.4196515381336212
1701870893.9288616,1619,0.5605504512786865
1701870987.6942663,1729,0.5531268119812012
1701871026.9232512,1779,0.3536771237850189
1701871043.8050444,1799,0.4695371091365814
1701871051.3731766,1809,0.45173606276512146
1701871304.1282952,1858,0.45930469036102295
1701871367.0910473,1938,0.47745412588119507
1701871439.4188495,2028,0.47912368178367615
1701871482.2842836,2078,0.4794410765171051
1701871573.4069438,2188,0.4020353853702545
1701871622.0616715,2248,0.4577859044075012
1701871669.4221127,2298,0.44809746742248535
1701871796.8234475,2448,0.3987056612968445
1701871844.171495,2508,0.4907434582710266
1701871884.4094734,2558,0.37622424960136414
1701871946.665125,2628,0.3617590665817261
1701871977.1532998,2668,0.2876291275024414
1701871991.6388097,2688,0.3087207078933716
1701872375.5974698,2887,0.35837414860725403
1701872419.8044686,2937,0.41606834530830383
1701872473.1288855,2997,0.32725557684898376
1701872514.973046,3047,0.2616877853870392
1701872530.537251,3067,0.4222191572189331
1701872599.4623196,3147,0.3472692370414734
1701872704.1177711,3267,0.35743439197540283
1701872785.7204404,3357,0.25081291794776917
1701872847.48051,3437,0.2879519462585449
1701872981.0350525,3597,0.33336493372917175
1701873238.765639,3646,0.3112979829311371
1701873322.6538043,3746,0.31353655457496643
1701873682.2754738,4186,0.21265296638011932
1701873690.044336,4196,0.3040798008441925
1701873835.3362691,4366,0.2820946276187897
1701873851.8562272,4386,0.2759280800819397
1701873860.7171366,4396,0.279807448387146
1701873885.2165036,4426,0.26111581921577454
1701874224.6232498,4585,0.3087407052516937
1701874251.1576097,4615,0.32463541626930237
1701874258.3245785,4625,0.21383202075958252
1701874341.4735303,4725,0.2879732847213745
1701874482.863115,4895,0.17753608524799347
1701874499.5932267,4915,0.2895577847957611
1701874659.8174782,5105,0.30284982919692993
1701874675.4753757,5125,0.22519686818122864
1701874699.5210295,5155,0.2600141763687134
1701874765.9262574,5235,0.2570147216320038
1701874818.8476481,5295,0.31091052293777466
1701874834.10113,5315,0.11190328001976013
1701874858.9099312,5345,0.3179413974285126
1701874908.028026,5405,0.2728886604309082
1701875174.7986126,5464,0.20208494365215302
1701875255.9474814,5564,0.2659575641155243
1701875305.742242,5624,0.22972306609153748
1701875357.3644745,5684,0.21218201518058777
1701875391.8954928,5724,0.24778048694133759
1701875441.8261576,5784,0.20289906859397888
1701875456.3307114,5804,0.2611132562160492
1701875500.7879238,5854,0.17747153341770172
1701875507.9003637,5864,0.16609515249729156
1701875556.9630377,5924,0.17823584377765656
1701875631.1961946,6014,0.20472170412540436
1701875786.407847,6194,0.32365962862968445
1701875804.2875257,6214,0.2830999195575714
1701875905.4819474,6334,0.25441816449165344
1701876178.4979956,6413,0.138468936085701
1701876186.3214889,6423,0.2894178032875061
1701876204.0765111,6443,0.17670774459838867
1701876231.1231382,6473,0.37222129106521606
1701876246.447411,6493,0.1797366887331009
1701876351.037997,6613,0.2221636176109314
1701876374.8371274,6643,0.22925904393196106
1701876407.8302474,6683,0.23023617267608643
1701876431.8999193,6713,0.20011229813098907
1701876456.308236,6743,0.1855345368385315
1701876486.813505,6783,0.23881720006465912
1701876530.3676534,6833,0.2951432466506958
1701876573.1253247,6883,0.3116743564605713
1701876788.101732,7143,0.23246675729751587
1701876820.7227488,7183,0.29519912600517273
1701876851.6083028,7223,0.26915082335472107
1701876858.750639,7233,0.23764410614967346
1701877150.4841495,7312,0.2314516305923462
1701877229.827526,7402,0.20388361811637878
1701877261.2962782,7442,0.1947375386953354
1701877296.371483,7482,0.25342920422554016
1701877341.3184738,7532,0.22485749423503876
1701877377.6272264,7572,0.31835341453552246
1701877458.1434586,7662,0.16023677587509155
1701877493.0575166,7702,0.23466534912586212
1701877502.6401823,7712,0.24689891934394836
1701877509.8028016,7722,0.23814496397972107
1701877528.3418055,7742,0.19476422667503357
1701877537.4212651,7752,0.21989768743515015
1701877589.000917,7812,0.23923948407173157
1701877631.9036813,7862,0.1828472763299942
1701877646.5385392,7882,0.26784688234329224
1701877694.6244736,7932,0.18948382139205933
1701877702.7547662,7942,0.18025948107242584
1701877712.9098084,7952,0.16715668141841888
1701877746.1985328,7992,0.17746084928512573
1701877783.4418256,8032,0.22543853521347046
1701877827.648373,8082,0.12361490726470947
1701877835.878047,8092,0.2633126974105835
1701877845.7982378,8102,0.15911994874477386
1701878284.1116025,8341,0.1869477778673172
1701878318.8210833,8381,0.28701671957969666
1701878608.4013736,8711,0.14124716818332672
1701878655.279733,8761,0.25339439511299133
1701878672.072812,8781,0.16695168614387512
1701878726.2548313,8841,0.2220407873392105
1701878801.110739,8921,0.1899791955947876
1701878850.2874184,8981,0.24515952169895172
1701878886.7132561,9021,0.2129172682762146
1701879170.8615968,9100,0.23165173828601837
1701879186.076187,9120,0.13945253193378448
1701879240.3366876,9180,0.22019699215888977
1701879256.8434916,9200,0.23961582779884338
1701879388.907626,9340,0.21811655163764954
1701879399.2259777,9350,0.21745431423187256
1701879488.7573154,9450,0.21439291536808014
1701879514.5973208,9480,0.19714632630348206
1701879598.9874594,9570,0.1503591239452362
1701879634.9085982,9610,0.16776534914970398
1701879668.342258,9650,0.3781939446926117
1701879749.3486633,9740,0.1647925078868866
1701879758.7335153,9750,0.2440047413110733
1701879812.5946178,9810,0.19472017884254456
1701879821.2229812,9820,0.27009519934654236
1701879870.2756884,9870,0.16356050968170166
1701879970.2882202,9990,0.19024010002613068
1701880252.2216005,10059,0.27028897404670715
1701880278.7107015,10089,0.17107753455638885
1701880361.8590286,10179,0.15375910699367523
1701880387.7817745,10209,0.18810278177261353
1701880459.4726686,10289,0.21693189442157745
1701880566.2017584,10409,0.23089341819286346
1701880631.7682664,10479,0.16847637295722961
1701880751.2438514,10609,0.18386508524417877
1701880802.1318576,10669,0.10871714353561401
1701880828.165893,10699,0.19023416936397552
1701880847.5202932,10719,0.2731603980064392
1701880882.2401154,10759,0.14161701500415802
1701880919.3336535,10799,0.22814476490020752
1701880942.3338597,10819,0.17143401503562927
1701880980.3711843,10869,0.22856733202934265
1701880988.4574165,10879,0.14650201797485352
1701881290.7363212,10978,0.18197424709796906
1701881345.4749143,11038,0.17017781734466553
1701881380.1794035,11078,0.19650696218013763
1701881389.654997,11088,0.2158142477273941
1701881484.019351,11188,0.15675318241119385
1701881532.3919294,11238,0.27175652980804443
1701881660.144241,11378,0.1731046885251999
1701881853.350232,11598,0.23886652290821075
1701881861.5365393,11608,0.19253958761692047
1701881900.4781528,11648,0.1755347102880478
1701881907.6601582,11658,0.2660044729709625
1701881917.7949088,11668,0.25476089119911194
1701882314.2392871,11857,0.1976313591003418
1701882421.6071565,11977,0.13803918659687042
1701882432.1216016,11987,0.165818989276886
1701882484.4411454,12047,0.18366950750350952
1701882503.250211,12067,0.1337621808052063
1701882546.2660124,12117,0.20498934388160706
1701882780.4197872,12377,0.18647274374961853
1701882799.7397084,12397,0.18383090198040009
1701882893.5018196,12497,0.1758963167667389
1701882994.1156266,12607,0.22315168380737305
1701883019.373268,12637,0.18255162239074707
1701883048.9717758,12667,0.1684494912624359
1701883454.3419015,12876,0.28287118673324585
1701883506.5151434,12936,0.18141202628612518
1701883565.6877782,13006,0.14209742844104767
1701883616.3088112,13066,0.20926734805107117
1701883704.6844363,13166,0.17907187342643738
1701883757.2871509,13226,0.13453690707683563
1701883786.282913,13256,0.258457213640213
1701883855.2944636,13336,0.22607408463954926
1701883884.1583564,13366,0.2526951730251312
1701883912.4312558,13396,0.15275458991527557
